"book_id","book_title","book_original_title","book_author","book_score","book_score_count","book_genre_info","book_similar","book_id_exists","","","","","","","",""
"65","Доннерджек","Donnerjack","Роджер Желязны","8.01","459","wg1;wg3;wg5;wg52;wg54;wg59;wg168;wg92;wg69;wg202;wg75;wg102;wg112;wg106","","True","","","","","","","",""
"66","Психолавка","Psychoshop","Альфред Бестер","7.14","423","wg19;wg24;wg52;wg51;wg48;wg69;wg71;wg190;wg101;wg106","58","True","","","","","","","",""
"67","Лорд Демон","Lord Demon","Роджер Желязны","7.94","604","wg19;wg21;wg29;wg52;wg54;wg61;wg69;wg91;wg101;wg112;wg140;wg133;wg150;wg106","14","True","","","","","","","",""
"68","Ну очень грозное оружие!","Forever After","Роджер Желязны","6.79","149","","","True","","","","","","","",""
"69","___","___","___","___","___","___","___","False","","","","","","","",""
"70","Гонки по паутине","The Web","Томас Уайлд","6.92","142","wg1;wg3;wg52;wg68;wg164;wg89;wg127;wg90;wg103;wg112;wg111;wg136;wg156;wg153;wg106","","True","","","","","","","",""
"71","Формула Клипсис","Clypsis","Джеффри Карвер","7.20","149","wg1;wg3;wg52;wg164;wg89;wg127;wg90;wg103;wg112;wg111;wg150;wg106","","True","","","","","","","",""
"72","Хроники Амбера","The Chronicles of Amber","Роджер Желязны","8.81","6052","wg19;wg21;wg20;wg52;wg68;wg91;wg69;wg202;wg75;wg101;wg112;wg106","8144;4133;424;19046;4078;403;20369;9430;9683;20348;20133;20134;47086;298668;66440;31516;117536;31518;59282;123;36564;16387;20137;3715;21277;27303;732226;8261;22505;74663;8137;72629;968639;289492","True","","","","","","","",""
"73","История рыжего демона","The Millennial Contest","Роджер Желязны","7.59","950","wg19;wg21;wg52;wg48;wg69;wg97;wg150;wg106","13671;52905;450101;191620","True","","","","","","","",""
"74","___","___","___","___","___","___","___","False","","","","","","","",""
"75","___","___","___","___","___","___","___","False","","","","","","","",""
"76","Имаджика","Imajica","Клайв Баркер","7.94","403","wg19;wg20;wg30;wg52;wg159;wg164;wg47;wg69;wg71;wg192;wg202;wg75;wg91;wg100;wg158;wg112;wg171;wg108","2330;2371","True","","","","","","","",""
"77","___","___","___","___","___","___","___","False","","","","","","","",""
"78","___","___","___","___","___","___","___","False","","","","","","","",""
"79","Всадник","Horseman!","Роджер Желязны","6.79","318","wg1;wg3;wg47;wg89;wg127;wg105;wg176;wg150;wg106","","True","","","","","","","",""
